tratamento	sw2	sw24
T1	14.83	48.40
T1	14.88	65.58
T1	14.99	55.90
T1	26.25	89.72
T1	15.78	55.02
T1	15.87	56.53
T1	19.38	63.54
T1	18.56	58.90
T1	31.13	75.37
T1	13.64	42.13
T1	45.15	87.78
T1	28.02	77.77
T1	29.58	78.86
T1	29.51	73.48
T1	29.65	73.86
T1	28.21	70.78
T2	49.06	72.87
T2	18.42	40.11
T2	17.12	42.55
T2	19.96	59.54
T2	11.01	53.75
T2	9.64	53.36
T2	7.83	44.53
T2	17.10	45.52
T2	14.18	52.48
T2	37.82	66.46
T2	11.43	43.03
T2	10.83	49.34
T2	8.66	32.19
T2	22.08	58.73
T2	17.37	66.91
T2	11.68	67.91
T3	11.62	39.70
T3	15.01	59.84
T3	15.60	58.93
T3	14.29	74.92
T3	8.02	39.64
T3	11.69	73.31
T3	15.83	67.86
T3	25.58	66.97
T3	26.44	50.85
T3	34.62	62.58
T3	31.41	59.65
T3	26.47	62.38
T3	13.54	50.18
T3	26.90	60.26
T3	17.24	48.34
T3	22.28	62.78
T4	27.59	61.38
T4	10.47	46.17
T4	9.59	37.29
T4	14.15	47.47
T4	15.77	53.36
T4	11.61	49.28
T4	19.42	64.76
T4	22.30	70.62
T4	16.84	50.43
T4	34.00	63.06
T4	30.77	65.71
T4	24.82	69.96
T4	28.48	51.24
T4	23.16	46.30
T4	21.48	53.14
T4	26.95	58.08
T5	24.13	54.19
T5	29.72	57.64
T5	27.43	74.81
T5	23.84	54.90
T5	11.28	52.40
T5	15.72	69.21
T5	16.11	72.88
T5	39.63	91.22
T5	16.57	46.82
T5	14.53	51.64
T5	27.60	72.74
T5	26.49	76.56
T5	13.91	38.81
T5	31.50	62.22
T5	30.63	70.54
T5	30.34	75.14
T6	33.75	64.18
T6	24.68	56.69
T6	18.58	58.61
T6	30.35	59.80
T6	30.52	67.33
T6	33.96	67.31
T6	36.60	69.79
T6	41.58	86.15
T6	10.61	44.52
T6	18.59	59.03
T6	22.88	58.33
T6	17.59	72.27
T6	19.54	50.50
T6	34.00	68.93
T6	18.68	43.81
T6	30.58	64.62
