especie	amostra	MOR1	Umidade	MOR2
F	21	108.2	11.38	106.19
F	22	114.3	11.34	112.04
F	23	108.2	11.37	106.15
F	31	88.7	10.75	85.37
F	32	106.1	11.24	103.68
F	33	96.4	10.75	92.79
F	41	93.2	10.84	89.96
F	42	118	11.03	114.58
F	43	108.5	11.17	105.78
F	51	107.3	11.79	106.63
F	52	118.1	11.65	116.84
F	53	122	11.64	120.69
F	54	117.4	11.69	116.30
F	55	123.4	11.75	122.49
F	56	109.9	11.72	108.97
S	11	180.8	10.02	170.05
S	12	182.9	9.80	170.83
S	21	179.7	9.91	168.41
S	22	198.3	9.81	185.30
S	23	204.5	9.94	191.85
S	24	184.4	10.10	173.89
S	25	190.1	10.05	178.96
S	26	230.9	10.13	217.94
S	27	197	10.00	185.18
S	51	169.9	10.67	163.13
S	52	174.1	10.43	165.92
S	53	170	10.75	163.61
S	54	182.4	10.74	175.50
S	55	157.3	10.60	150.70
S	56	186.9	10.71	179.69
