especie	amostra	rep	MOR1	Umidade	MOR2
F	1	1	337.4	11.93	336.65
F	1	2	321.9	11.63	318.32
F	1	3	313.4	11.19	305.80
F	2	1	291.3	11.75	289.12
F	2	2	352.4	11.86	350.88
F	2	3	389.2	11.88	387.85
F	3	1	345.9	11.80	343.85
F	3	2	291.6	11.80	289.86
F	3	3	374.8	11.79	372.46
F	4	1	310.6	11.85	309.23
F	4	2	297	11.83	295.46
F	4	3	373.2	11.85	371.54
F	5	1	355.3	11.83	353.44
F	5	2	301.1	11.86	299.86
F	5	3	297.1	11.94	296.53
S	1	1	610.9	9.56	566.15
S	1	2	589	10.59	564.05
S	1	3	635.4	8.86	575.46
S	2	1	558.4	11.77	554.52
S	2	2	546.1	11.72	541.55
S	2	3	561	11.46	551.97
S	3	1	729.3	9.57	676.14
S	3	2	617	9.38	568.44
S	3	3	572.4	10.57	547.87
S	4	1	504.5	12.05	505.25
S	4	2	511.9	12.23	515.37
S	4	3	447	12.11	448.42
S	5	1	733.2	9.19	671.34
S	5	2	703.2	9.36	647.50
S	5	3	708.6	9.82	662.33
