especie	amostra	dur-rad	Umidade	radial	dur-tan	Umidade	tangencial	dur-topo	Umidade	topo
F	F11	299.5	11.7	297.02	278.5	11.7	276.20	460	11.7	456.19
F	F12	339.5	11.8	337.72	367.5	11.8	365.58	473	11.8	470.52
F	F13	336	63.5	855.53	406.5	63.5	1035.04	484.5	63.5	1233.65
F	F21	183.5	11.8	182.32	452	11.8	449.09	510.5	11.8	507.21
F	F22	200.5	12.1	200.91	387	12.1	387.79	418	12.1	418.85
F	F23	261	12.7	266.48	259	12.7	264.44	383.5	12.7	391.56
F	F31	189	12.3	190.90	219	12.3	221.21	310.5	12.3	313.63
F	F32	132.5	11.6	131.09	180.5	11.6	178.58	405	11.6	400.70
F	F33	185	12.1	185.38	149	12.1	149.31	339	12.1	339.70
F	F41	243.5	11.8	241.71	265.5	11.8	263.55	446.5	11.8	443.22
F	F42	253	11.5	249.15	326.5	11.5	321.53	411.5	11.5	405.24
F	F43	244	11.7	241.73	213	11.7	211.02	370.5	11.7	367.05
F	F51	262	12.3	264.02	305.5	12.3	307.86	480.5	12.3	484.20
F	F52	207	12.2	208.17	299.5	12.2	301.19	480.5	12.2	483.22
F	F53	223	12.2	224.17	211.5	12.2	212.61	393	12.2	395.06
S	S11	905	8.3	804.07	1152.5	8.3	1023.96	1086.5	8.3	965.32
S	S12	1074.5	7.2	919.31	1083	7.2	926.58	1095.5	7.2	937.28
S	S13	916.5	7.6	795.78	954	7.6	828.35	1071	7.6	929.93
S	S21	1059	7.5	917.57	1218	7.5	1055.33	1091.5	7.5	945.73
S	S22	1094.5	7.6	950.53	1144	7.6	993.52	1052.5	7.6	914.05
S	S23	1052	7.4	906.46	1085.5	7.4	935.32	1056	7.4	909.90
S	S31	904	9.1	824.73	1060.5	9.1	967.50	885	9.1	807.39
S	S32	643.5	10.3	610.70	824	10.3	782.00	622.5	10.3	590.77
S	S33	1068.5	9.0	973.93	1186.5	9.0	1081.49	893	9.0	813.96
S	S41	942	10.8	907.70	1041.5	10.8	1003.58	1087.5	10.8	1047.90
S	S42	1031	11.4	1012.68	865	11.4	849.63	975	11.4	957.67
S	S43	787	11.6	778.67	874	11.6	864.74	971	11.6	960.72
S	S51	883.5	8.4	787.07	882	8.4	785.73	1035.5	8.4	922.48
S	S52	947	8.4	845.68	1002.5	8.4	895.24	989.5	8.4	883.63
S	S53	879	8.2	779.24	914	8.2	810.26	1103.5	8.2	978.26
