especie	Lignina	Extrativos	Holocelulose	MV	CZ	cf	me	MOE
Sibipiruna	22.30	22.89	54.81	77.85	1.26	20.90	968.10	12868.99
Sibipiruna	22.90	23.37	53.73	77.31	1.90	20.79	945.01	12532.59
Sibipiruna	22.47	21.80	55.73	78.79	1.80	19.41	918.86	12681.76
Sibipiruna	23.27	20.04	56.69	80.04	0.25	19.71	974.80	11781.76
Sibipiruna	22.53	19.59	57.88	78.31	1.12	20.56	864.57	13270.56
Sibipiruna	22.30	19.95	57.75	80.21	1.43	18.35	968.62	14436.61
Sibipiruna	21.93	20.15	57.92	82.71	0.70	16.59	909.66	17320.27
Sibipiruna	22.57	20.22	57.21	76.45	0.66	22.89	875.92	17500.49
Sibipiruna	21.77	19.68	58.55	77.66	1.20	21.15	885.39	15687.10
Sibipiruna	28.80	19.59	51.61	75.25	0.50	24.25	862.05	12019.65
Sibipiruna	28.03	21.36	50.61	72.54	0.39	27.07	860.35	11732.99
Sibipiruna	27.43	22.70	49.87	75.78	0.47	23.75	867.80	11475.57
Sibipiruna	21.67	20.90	57.43	76.51	1.61	21.88	948.94	15848.14
Sibipiruna	22.03	19.62	58.35	67.32	1.48	31.20	951.45	16127.26
Sibipiruna	21.87	19.28	58.85	73.47	1.68	24.86	924.05	16912.09
