especie	Lignina	Extrativos	Holocelulose	MV	CZ	cf	me	MOE
Flamboyant	17.20	5.81	76.99	87.09	0.95	11.96	515.98	8831.52
Flamboyant	16.57	5.60	77.83	85.92	1.01	13.07	476.38	12239.09
Flamboyant	17.00	5.63	77.37	87.09	0.94	11.98	494.39	7143.83
Flamboyant	21.97	12.83	65.20	81.06	1.56	17.38	467.34	8129.93
Flamboyant	22.53	11.60	65.87	84.77	1.44	13.79	392.85	8676.30
Flamboyant	23.50	11.67	64.83	81.82	1.43	16.75	423.17	7258.44
Flamboyant	26.10	9.80	64.10	83.66	1.46	14.88	439.22	6665.22
Flamboyant	27.10	8.89	64.01	81.53	1.43	17.04	388.76	9344.92
Flamboyant	27.90	8.58	63.52	81.36	1.30	17.34	441.23	6236.56
Flamboyant	23.00	13.16	63.84	89.93	0.71	9.36	488.50	7051.07
Flamboyant	25.90	14.84	59.26	87.99	0.95	11.06	466.71	7783.97
Flamboyant	26.37	13.93	59.70	87.03	0.81	12.16	462.75	7631.17
Flamboyant	27.20	16.36	56.44	80.79	1.32	17.90	432.42	7168.00
Flamboyant	21.60	14.26	64.14	84.92	1.28	13.80	425.32	7328.26
Flamboyant	22.67	13.57	63.76	80.48	1.10	18.42	432.65	5974.70
