especie	ID	MOE	MOR	densidade
F	F11	8831.52	55.11	336.96
F	F12	12239.09	76.46	329.57
F	F13	7143.83	50.33	312.53
F	F21	8129.93	60.87	317.32
F	F22	8676.30	66.10	310.39
F	F23	7258.44	61.60	314.49
F	F31	6665.22	46.24	342.59
F	F32	9344.92	71.65	316.03
F	F33	6236.56	28.07	342.32
F	F41	7051.07	31.89	319.24
F	F42	7783.97	36.73	318.98
F	F43	7631.17	35.67	313.07
F	F51	7168.00	53.25	341.92
F	F52	7328.26	52.63	335.08
F	F53	5974.70	33.86	328.36
S	S11	12868.99	96.14	311.54
S	S12	12532.59	98.42	309.35
S	S13	12681.76	78.17	318.21
S	S21	11781.76	101.89	325.63
S	S22	13270.56	83.70	322.43
S	S23	14436.61	48.20	333.25
S	S31	17320.27	96.28	320.17
S	S32	17500.49	90.50	321.46
S	S33	15687.10	89.59	329.43
S	S41	12019.65	110.98	313.85
S	S42	11732.99	93.03	318.87
S	S43	11475.57	117.90	307.02
S	S51	15848.14	124.99	331.78
S	S52	16127.26	98.98	331.80
S	S53	16912.09	135.00	308.09
