tratamento	MOE	MOR
T1	204.40	4.46
T1	193.88	3.81
T1	213.16	4.94
T1	128.92	4.14
T1	168.39	3.58
T1	157.98	5.60
T1	199.16	4.06
T1	149.86	3.76
T1	196.58	4.19
T1	236.53	4.91
T1	479.29	5.55
T1	157.89	3.87
T1	194.29	3.72
T1	217.13	3.69
T1	199.83	3.95
T2	181.42	3.75
T2	200.70	3.74
T2	219.38	3.82
T2	153.37	3.64
T2	196.09	4.00
T2	222.11	4.11
T2	234.54	4.47
T2	152.98	3.41
T2	229.20	3.67
T2	227.24	4.13
T2	273.40	3.99
T2	177.59	4.14
T2	226.39	4.05
T2	236.48	5.20
T2	230.32	4.57
T3	206.82	3.65
T3	241.76	3.73
T3	228.07	3.72
T3	132.28	3.65
T3	202.65	3.60
T3	175.58	3.64
T3	187.82	4.06
T3	170.58	3.64
T3	225.45	3.84
T3	231.54	3.65
T3	212.82	3.61
T3	196.40	3.63
T3	235.77	3.87
T3	233.42	3.76
T3	213.83	4.15
T4	192.25	3.60
T4	189.72	3.63
T4	194.09	3.56
T4	166.22	3.70
T4	201.05	3.54
T4	202.94	3.62
T4	193.42	3.58
T4	119.39	3.54
T4	168.66	3.57
T4	168.38	3.65
T4	175.13	3.65
T4	167.53	3.69
T4	231.22	3.53
T4	208.60	3.64
T4	188.98	3.78
T5	195.53	3.59
T5	209.24	3.73
T5	209.68	3.63
T5	151.83	3.65
T5	182.63	3.74
T5	200.01	3.76
T5	179.43	3.82
T5	133.68	3.65
T5	218.96	3.53
T5	223.67	3.53
T5	227.95	3.53
T5	120.82	3.63
T5	189.98	3.66
T5	214.22	3.60
T5	241.16	3.69
T6	174.01	3.69
T6	174.51	3.78
T6	184.60	3.57
T6	153.90	3.71
T6	159.09	3.72
T6	159.63	3.58
T6	187.42	3.76
T6	155.99	3.61
T6	212.07	3.62
T6	234.40	3.76
T6	239.98	3.69
T6	193.88	3.75
T6	253.44	3.68
T6	266.61	3.75
T6	248.77	3.76
