tratamento	sw2	sw24
T1	3.95	13.76
T1	5.60	18.07
T1	4.60	15.57
T1	5.99	18.72
T1	4.43	18.57
T1	5.92	17.81
T1	3.96	18.73
T1	5.94	16.76
T1	6.21	18.43
T1	4.39	12.48
T1	8.52	20.82
T1	5.67	19.16
T1	7.72	18.58
T1	6.91	19.24
T1	5.13	17.34
T1	5.36	17.97
T2	8.72	15.28
T2	3.47	10.48
T2	4.08	10.36
T2	4.25	10.23
T2	4.16	16.06
T2	4.49	16.15
T2	2.52	12.10
T2	3.19	13.39
T2	3.37	13.35
T2	4.62	14.36
T2	4.03	9.16
T2	5.20	12.61
T2	1.86	6.27
T2	4.63	7.53
T2	3.52	14.48
T2	4.18	17.21
T3	3.25	9.37
T3	5.67	14.18
T3	5.60	14.41
T3	3.96	16.62
T3	5.35	11.23
T3	4.82	17.17
T3	5.49	16.25
T3	4.46	17.09
T3	6.55	16.15
T3	7.68	19.54
T3	6.96	18.61
T3	7.51	19.69
T3	5.44	16.24
T3	6.83	16.85
T3	4.13	14.51
T3	4.73	16.11
T4	5.12	16.03
T4	2.58	10.02
T4	5.38	8.51
T4	3.89	10.36
T4	3.49	9.84
T4	2.13	10.89
T4	4.17	14.85
T4	3.63	14.22
T4	4.35	12.49
T4	4.81	14.96
T4	5.24	15.40
T4	3.18	14.05
T4	6.56	15.33
T4	4.66	14.31
T4	5.18	14.52
T4	6.04	14.85
T5	3.81	14.25
T5	4.82	14.39
T5	5.85	15.88
T5	4.16	12.50
T5	4.88	12.47
T5	5.15	15.38
T5	6.15	15.65
T5	5.20	15.85
T5	6.44	13.36
T5	4.60	13.58
T5	4.96	16.19
T5	5.25	16.25
T5	4.38	11.93
T5	7.52	15.37
T5	5.60	15.59
T5	5.26	16.85
T6	7.33	18.91
T6	5.94	18.88
T6	4.03	17.38
T6	7.61	15.58
T6	6.39	15.74
T6	6.49	14.68
T6	6.60	16.23
T6	4.89	16.09
T6	4.66	5.01
T6	4.00	13.18
T6	5.82	16.25
T6	3.37	14.91
T6	5.55	14.00
T6	5.25	17.35
T6	4.51	12.25
T6	5.51	18.64
