tratamento	sw2	sw24
T1	0.58	1.10
T1	0.95	1.42
T1	0.33	1.00
T1	0.61	1.37
T1	0.45	1.11
T1	0.33	0.87
T1	0.52	1.31
T1	0.47	1.32
T1	0.80	1.30
T1	0.43	0.85
T1	0.68	1.40
T1	0.54	1.10
T1	0.69	2.28
T1	0.79	1.26
T1	0.64	1.22
T1	0.66	1.20
T2	0.97	1.21
T2	0.41	1.26
T2	0.29	0.95
T2	0.12	0.78
T2	0.29	1.08
T2	0.19	0.88
T2	0.39	1.02
T2	0.40	0.92
T2	0.39	1.22
T2	0.43	1.16
T2	0.17	0.77
T2	0.26	1.04
T2	0.14	0.49
T2	0.46	0.97
T2	0.39	1.09
T2	0.50	0.96
T3	0.54	1.21
T3	0.36	1.23
T3	0.32	1.29
T3	0.21	0.92
T3	0.35	0.87
T3	0.52	1.14
T3	0.26	0.80
T3	0.81	1.36
T3	0.41	0.92
T3	0.48	1.03
T3	0.35	0.88
T3	0.33	1.05
T3	0.25	1.01
T3	0.52	1.05
T3	0.27	0.89
T3	0.43	0.90
T4	0.22	0.87
T4	0.31	0.93
T4	-0.11	0.38
T4	0.23	0.60
T4	0.40	0.89
T4	0.75	1.16
T4	0.19	0.86
T4	0.36	0.92
T4	0.60	0.10
T4	0.74	1.13
T4	0.57	1.28
T4	0.43	1.10
T4	0.26	0.98
T4	0.64	1.01
T4	0.45	0.98
T4	0.23	1.76
T5	0.56	1.40
T5	0.52	1.33
T5	0.73	1.40
T5	0.48	1.35
T5	0.33	1.14
T5	0.11	1.10
T5	0.38	1.16
T5	0.67	1.43
T5	0.26	0.94
T5	0.08	1.14
T5	0.58	1.34
T5	0.37	1.21
T5	0.39	0.79
T5	0.42	1.02
T5	0.63	1.13
T5	0.39	1.14
T6	0.51	1.25
T6	0.50	1.08
T6	0.28	1.28
T6	0.48	1.03
T6	0.67	1.23
T6	0.11	0.80
T6	0.64	1.21
T6	0.56	1.11
T6	0.31	1.00
T6	0.67	0.96
T6	0.44	0.83
T6	0.22	0.66
T6	0.36	1.03
T6	0.59	1.06
T6	0.54	0.90
T6	0.49	1.19
