tratamento	tracao	MOR
T1	192.0	7.6
T1	167.9	6.5
T1	144.9	5.6
T1	157.0	6.1
T1	257.1	10.1
T1	255.9	10.1
T1	194.0	7.6
T1	205.8	8.1
T1	309.5	12.2
T1	279.6	11.0
T1	287.7	11.3
T1	289.4	11.4
T1	262.8	10.4
T1	284.4	11.2
T1	326.1	12.8
T1	239.3	9.5
T2	147.2	5.8
T2	82.2	3.2
T2	96.9	3.8
T2	135.1	5.3
T2	261.7	10.3
T2	283.5	11.1
T2	195.1	7.6
T2	150.9	5.9
T2	292.5	11.4
T2	237.7	9.3
T2	253.7	10.0
T2	185.6	7.2
T2	142.2	5.6
T2	157.7	6.2
T2	203.0	8.0
T2	223.1	8.8
T3	167.2	6.5
T3	252.9	9.9
T3	236.6	9.3
T3	298.6	11.7
T3	186.6	7.3
T3	224.5	8.8
T3	216.0	8.5
T3	260.7	10.2
T3	162.5	6.4
T3	236.5	9.2
T3	162.2	6.3
T3	177.9	7.0
T3	312.0	12.2
T3	229.4	9.0
T3	217.7	8.5
T3	254.7	10.0
T4	253.4	9.9
T4	256.0	10.0
T4	214.0	8.3
T4	166.1	6.4
T4	197.0	7.7
T4	206.3	8.1
T4	154.8	6.1
T4	210.3	8.2
T4	204.3	8.0
T4	181.5	7.1
T4	225.0	8.9
T4	146.0	5.7
T4	214.5	8.4
T4	205.9	8.0
T4	265.7	10.7
T4	284.9	11.1
T5	154.6	6.0
T5	109.6	4.3
T5	157.3	6.2
T5	147.4	5.8
T5	188.2	7.3
T5	158.6	6.2
T5	234.2	9.2
T5	216.5	8.5
T5	319.3	12.3
T5	308.9	12.1
T5	247.4	9.7
T5	200.5	7.8
T5	202.0	7.8
T5	189.0	7.3
T5	216.8	8.5
T5	169.3	6.6
T6	211.1	8.2
T6	125.6	4.9
T6	138.0	5.4
T6	145.6	5.7
T6	161.5	6.3
T6	197.3	7.7
T6	223.2	8.7
T6	177.8	7.0
T6	177.8	7.0
T6	163.8	6.4
T6	262.6	10.2
T6	254.5	9.9
T6	160.9	6.3
T6	273.8	10.7
T6	173.3	6.8
T6	277.1	10.8
