tratamento	me
T1	0.734
T1	0.684
T1	0.727
T1	0.715
T1	0.763
T1	0.702
T1	0.662
T1	0.721
T1	0.656
T1	0.654
T1	0.665
T1	0.655
T1	0.753
T1	0.705
T1	0.658
T1	0.628
T2	0.568
T2	0.550
T2	0.706
T2	0.654
T2	0.700
T2	0.683
T2	0.794
T2	0.786
T2	0.664
T2	0.656
T2	0.745
T2	0.719
T2	0.782
T2	0.750
T2	0.731
T2	0.759
T3	0.608
T3	0.596
T3	0.680
T3	0.751
T3	0.662
T3	0.584
T3	0.652
T3	0.742
T3	0.702
T3	0.714
T3	0.631
T3	0.653
T3	0.632
T3	0.708
T3	0.654
T3	0.711
T4	0.646
T4	0.732
T4	0.750
T4	0.734
T4	0.736
T4	0.719
T4	0.704
T4	0.717
T4	0.750
T4	0.739
T4	0.714
T4	0.661
T4	0.610
T4	0.662
T4	0.662
T4	0.719
T5	0.739
T5	0.719
T5	0.699
T5	0.723
T5	0.719
T5	0.696
T5	0.722
T5	0.724
T5	0.670
T5	0.663
T5	0.711
T5	0.748
T5	0.797
T5	0.792
T5	0.799
T5	0.765
T6	0.621
T6	0.641
T6	0.718
T6	0.734
T6	0.725
T6	0.739
T6	0.736
T6	0.702
T6	0.748
T6	0.750
T6	0.741
T6	0.631
T6	0.747
T6	0.726
T6	0.713
T6	0.695
