especie	amostra	rep	tensao1	Umidade	tensao2
F	1	1	337.9254403	11.93	337.18
F	1	2	322.4410568	11.63	318.86
F	1	3	314.015239	11.19	306.40
F	2	1	291.6949334	11.75	289.51
F	2	2	353.1305433	11.86	351.60
F	2	3	390.1041752	11.88	388.75
F	3	1	345.8774645	11.80	343.82
F	3	2	292.6236197	11.80	290.87
F	3	3	375.2388673	11.79	372.90
F	4	1	311.1917509	11.85	309.82
F	4	2	297.1137521	11.83	295.57
F	4	3	273.3081648	11.85	272.09
F	5	1	356.4553425	11.83	354.59
F	5	2	300.7651847	11.86	299.53
F	5	3	308.8145505	11.94	308.22
S	1	1	609.6840989	9.56	565.02
S	1	2	588.7676313	10.59	563.82
S	1	3	636.4465099	8.86	576.41
S	2	1	559.0717807	11.77	555.19
S	2	2	545.4253151	11.72	540.88
S	2	3	562.3344673	11.46	553.29
S	3	1	729.9471323	9.57	676.74
S	3	2	616.4779021	9.38	567.96
S	3	3	571.6569381	10.57	547.16
S	4	1	505.4888894	12.05	506.24
S	4	2	511.0295415	12.23	514.50
S	4	3	447.5327205	12.11	448.95
S	5	1	733.4642692	9.19	671.58
S	5	2	702.6495422	9.36	647.00
S	5	3	711.2360721	9.82	664.80
